Vin|NumeroInventario|CostoCompra|CostoActual|Anio|Marca|Modelo|Version|Color|Interior|Estado|TipoCompra|FechaCompra|Placas|NuevoUsado|Ubicacion|Nada
5XYRK4JF6SG341332|17295|695486.68|695536.68|2025|KIA|SORENTO|New Sorento 2.5L Turbo SXL DCT - 6P|WOLF GRAY|SATURN BLACK|DISPONIBLE|INTERCAMBIO|14/01/25||NUEVO|APOCADA|
3KPFE4AD8SE080419|16857|364629.60|364629.60|2025|KIA|K3 SEDAN|K3 2.0L GT-LINE A/T Sedan|SNOW WHITE PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|10/12/24||NUEVO|APOCADA|
3KPFC4AA4SE084088|17119|332484.94|332534.94|2025|KIA|K3 SEDAN|K3 1.6L EX PACK A/T Sedan|FIERY RED|SATURN BLACK|DISPONIBLE|INTERCAMBIO|28/12/24||NUEVO|APOCADA|
3KPFC4AA0SE085755|17120|332484.94|332534.94|2025|KIA|K3 SEDAN|K3 1.6L EX PACK A/T Sedan|SNOW WHITE PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|28/12/24||NUEVO|APOCADA|
3KPFC4AA9SE084796|17276|332484.94|332554.94|2025|KIA|K3 SEDAN|K3 EX PACK A/T Sedan|AZURE BLUE|SATURN BLACK|DISPONIBLE|INTERCAMBIO|07/01/25||NUEVO|APOCADA|
3KPFC4AA8SE085440|17277|332484.94|332589.94|2025|KIA|K3 SEDAN|K3 EX PACK A/T Sedan|FIERY RED|SATURN BLACK|DISPONIBLE|INTERCAMBIO|07/01/25||NUEVO|APOCADA|
3KPFC4AA1SE096375|17605|332484.94|332484.94|2025|KIA|K3 SEDAN|K3 EX PACK A/T Sedan|AZURE BLUE|SATURN BLACK|DISPONIBLE|INTERCAMBIO|06/02/25||NUEVO|APOCADA|
3KPFC4AAXSE098058|17612|332484.94|332484.94|2025|KIA|K3 SEDAN|K3 EX PACK A/T Sedan|AURORA BLACK PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|07/02/25||NUEVO|APOCADA|
3KPFB4AA9SE077818|16993|285704.60|285774.60|2025|KIA|K3 SEDAN|K3 1.6L LX A/T Sedan|SILKY SILVER|SATURN BLACK|DISPONIBLE|INTERCAMBIO|23/12/24||NUEVO|APOCADA|
3KPFB4AA5SE076858|17000|285704.60|285704.60|2025|KIA|K3 SEDAN|K3 1.6L LX A/T Sedan|STEEL GREY|SATURN BLACK|DISPONIBLE|INTERCAMBIO|23/12/24||NUEVO|APOCADA|
3KPFB4AA4SE077175|17125|285704.60|285774.60|2025|KIA|K3 SEDAN|K3 1.6L LX A/T Sedan|FIERY RED|SATURN BLACK|DISPONIBLE|INTERCAMBIO|28/12/24||NUEVO|APOCADA|
3KPFB4AA8SE089426|17288|285704.60|285774.60|2025|KIA|K3 SEDAN|K3 1.6L LX A/T Sedan|SILKY SILVER|SATURN BLACK|DISPONIBLE|INTERCAMBIO|10/01/25||NUEVO|APOCADA|
3KPFB4AA4SE084420|17372|285704.60|285704.60|2025|KIA|K3 SEDAN|K3 1.6L LX A/T Sedan|STEEL GREY|SATURN BLACK|DISPONIBLE|INTERCAMBIO|17/12/24||NUEVO|APOCADA|
3KPFB4AA4SE090296|17532|285704.60|285704.60|2025|KIA|K3 SEDAN|K3 1.6L LX A/T Sedan|FIERY RED|SATURN BLACK|EEAPG|INTERCAMBIO|09/01/25||NUEVO|APOCADA|
3KPFC4AA1SE094884|17363|304645.60|304715.60|2025|KIA|K3 SEDAN|K3 1.6L EX AT SEDAN|SILKY SILVER|SATURN BLACK|DISPONIBLE|INTERCAMBIO|16/01/25||NUEVO|APOCADA|
3KPFB4AA5SE086841|17291|255109.78|255179.78|2025|KIA|K3 SEDAN|K3 1.6L L AT|STEEL GREY|SATURN BLACK|DISPONIBLE|INTERCAMBIO|13/01/25||NUEVO|APOCADA|
3KPFB4AA9SE093355|17303|255109.78|255179.78|2025|KIA|K3 SEDAN|K3 1.6L L AT|STEEL GREY|SATURN BLACK|DISPONIBLE|INTERCAMBIO|14/01/25||NUEVO|APOCADA|
