Vin|NumeroInventario|CostoActual|Anio|Marca|Modelo|Version|Color|Interior|Estado|TipoCompra|FechaCompra|NuevoUsado|Ubicacion
3KPFE4AD8RE002961|12082|354289.77|2024|KIA|K3 SEDAN|K3 2.0L GT-LINE A/T Sedan|WAVY BLUE|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2023-03-11|DEMO|APOCADA
3KPFE4AD3RE035964|13824|358174.07|2024|KIA|K3 SEDAN|K3 2.0L GT-LINE A/T Sedan|SNOW WHITE PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2024-04-15|DEMO|APOCADA
3KPFC4AA8RE048219|14535|304532.07|2024|KIA|K3 SEDAN|K3 1.6L EX AT SEDAN|SILKY SILVER|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2024-05-06|DEMO|APOCADA
3KPFU4AE7SE002516|15687|362051.56|2025|KIA|K4 SD|K4 2.0 NU EX IVT|STEEL GREY|MEDIUM GRAY|DISPONIBLE|INTERCAMBIO|2024-08-29|DEMO|APOCADA
3KPFU4AE0SE002082|16436|362051.56|2025|KIA|K4 SD|K4 2.0 NU EX IVT|INTERSTELLART GRAY|MEDIUM GRAY|DISPONIBLE|INTERCAMBIO|2024-01-11|DEMO|APOCADA
KNDC4DUC6R5205688|15069|945739.33|2024|KIA|EV6|EV6 Electric GT-line|AURORA BLACK PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2024-07-26|DEMO|APOCADA
LJD3BA1D7R0021289|16025|290362.78|2024|KIA|SONET|Sonet 1.5L LX MT|VIVID RED|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2024-09-30|DEMO|APOCADA
LJD5AA193R0151822|16374|432539.41|2024|KIA|SELTOS|SELTOS 1.4L TURBO SXL DCT|SPARKLING SILVER + BLACK ROOF|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2024-10-31|DEMO|APOCADA
LJD5AA1D6R0133061|13740|405929.71|2024|KIA|SELTOS|SELTOS 1.5L SX CVT|SNOW WHITE PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2024-08-04|DEMO|APOCADA
LJD5AA1D8R0148113|15584|405929.71|2024|KIA|SELTOS|SELTOS 1.5L SX CVT|SNOW WHITE PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2024-01-09|DEMO|APOCADA
LJD3BA1D5R0030959|17317|347896.2|2024|KIA|SONET|Sonet 1.5L SX IVT|SNOW WHITE PEARL/ BLACK ROOF|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-01-15|NUEVO|APOCADA
LJD3BA1D5R0031299|17320|347876.2|2024|KIA|SONET|Sonet 1.5L SX IVT|SNOW WHITE PEARL/ BLACK ROOF|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-01-15|NUEVO|APOCADA
LJD3BA1DXR0032013|17432|347896.2|2024|KIA|SONET|Sonet 1.5L SX IVT|VIVID RED/ BLACK ROOF|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-01-23|NUEVO|APOCADA
LJD3BA1D3R0032340|17447|347896.2|2024|KIA|SONET|Sonet 1.5L SX IVT|SNOW WHITE PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-01-27|NUEVO|APOCADA
LJD3BA1D6R0034194|17431|310319.41|2024|KIA|SONET|Sonet 1.5L EX IVT|SNOW WHITE PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-01-23|NUEVO|APOCADA
LJD3BA1D1R0038203|17646|310269.41|2024|KIA|SONET|Sonet 1.5L EX IVT|GRAVITY GRAY|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-10-02|NUEVO|APOCADA
LJD3BA1D8R0038232|17647|310269.41|2024|KIA|SONET|Sonet 1.5L EX IVT|SNOW WHITE PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-10-02|NUEVO|APOCADA
LJD5AA199S0179646|17448|437906.8|2025|KIA|SELTOS|SELTOS 1.4L TURBO SXL DCT|SPARKLING SILVER + BLACK ROOF|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-01-27|NUEVO|APOCADA
LJD5AA1D7S0179228|17502|411352.11|2025|KIA|SELTOS|SELTOS 1.5L SX CVT|SNOW WHITE PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-01-29|NUEVO|APOCADA
LJD5AA1D9R0164367|17517|405859.71|2024|KIA|SELTOS|SELTOS 1.5L SX CVT|PLUTON BLUE|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2024-12-27|NUEVO|APOCADA
LJD5AA1D0R0164399|17518|405859.71|2024|KIA|SELTOS|SELTOS 1.5L SX CVT|SNOW WHITE PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2024-12-27|NUEVO|APOCADA
LJD5AA1D4R0171422|17579|405859.71|2024|KIA|SELTOS|SELTOS 1.5L SX CVT|SNOW WHITE PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-01-31|NUEVO|APOCADA
LJD5AA1D8S0180355|17649|358608.45|2025|KIA|SELTOS|SELTOS 1.5L EX CVT|VIVID RED|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-10-02|NUEVO|APOCADA
LJD5AA192S0179374|17645|437856.8|2025|KIA|SELTOS|SELTOS 1.4L Turbo DCT SXL|VIVID RED + BLACK ROOF|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-10-02|NUEVO|APOCADA
KNDPV3AF5S7359388|17525|544816.34|2025|KIA|NEW SPORTAGE|Sportage 2.5L SXL T/A|SNOW WHITE PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2024-12-19|NUEVO|APOCADA
KNDPV3AF7S7366455|17279|504895.13|2025|KIA|NEW SPORTAGE|Sportage 2.5L EX PACK A/T|DAWNING RED|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-07-01|NUEVO|APOCADA
5XYRK4JF8SG322006|16458|695536.68|2025|KIA|SORENTO|New Sorento 2.5L Turbo SXL DCT - 6P|GLACIER WHITE PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2024-08-11|NUEVO|APOCADA
5XYRK4JF6SG341332|17295|695536.68|2025|KIA|SORENTO|New Sorento 2.5L Turbo SXL DCT - 6P|WOLF GRAY|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-01-14|NUEVO|APOCADA
3KPFE4AD8SE080419|16857|364629.6|2025|KIA|K3 SEDAN|K3 2.0L GT-LINE A/T Sedan|SNOW WHITE PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2024-10-12|NUEVO|APOCADA
3KPFC4AA4SE084088|17119|332534.94|2025|KIA|K3 SEDAN|K3 1.6L EX PACK A/T Sedan|FIERY RED|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2024-12-28|NUEVO|APOCADA
3KPFC4AA0SE085755|17120|332534.94|2025|KIA|K3 SEDAN|K3 1.6L EX PACK A/T Sedan|SNOW WHITE PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2024-12-28|NUEVO|APOCADA
3KPFC4AA9SE084796|17276|332554.94|2025|KIA|K3 SEDAN|K3 EX PACK A/T Sedan|AZURE BLUE|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-07-01|NUEVO|APOCADA
3KPFC4AA8SE085440|17277|332589.94|2025|KIA|K3 SEDAN|K3 EX PACK A/T Sedan|FIERY RED|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-07-01|NUEVO|APOCADA
3KPFC4AA1SE096375|17605|332484.94|2025|KIA|K3 SEDAN|K3 EX PACK A/T Sedan|AZURE BLUE|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-06-02|NUEVO|APOCADA
